LogGDP,LogDebt,LogNationalSavings,LogRatio,GDP,Debt,NationalSavings,Ratio,Country_Name,Year
21.761027010608775,0,18.92911282228418,0,2822889974,0,166268219.4686,0,"Papua New Guinea",1980-01-01
22.09215776631485,0,20.57893871162129,0,3930992464,0,865604540.5728,0,Paraguay,1980-01-01
23.541035077068834,0,22.332384683191787,0,16739467259,0,4998404923.537399,0,Peru,1980-01-01
24.305492981534872,0,22.571058578926085,0,35953525445,0,6345797241.0425,0,Philippines,1980-01-01
24.780744473937975,0,23.60827033667141,0,57828320920,0,17903648156.832,0,Poland,1980-01-01
24.203167281281168,0,23.035204914478264,0,32456523144,0,10093978697.784,0,Portugal,1980-01-01
23.49310077098957,0,0,0,15956000000,0,0,0,"Puerto Rico",1980-01-01
22.782238905511434,0,22.121752507191037,0,7837916673,0,4049067753.2717996,0,Qatar,1980-01-01
24.888147942448818,0,0,0,64385091348,0,0,0,"Republic of Korea",1980-01-01
NULL,0,0,0,0,0,0,NULL,"Republic of Moldova",1980-01-01
24.31870412051707,0,22.507150023960836,0,36431663889,0,5952933879.4626,0,Romania,1980-01-01
NULL,0,0,0,0,0,0,NULL,"Russian Federation",1980-01-01
21.060723604201304,0,18.669307297500644,0,1401380423,0,128226308.70450002,0,Rwanda,1980-01-01
17.9225129869743,0,0,0,60764299,0,0,0,"Saint Kitts and Nevis",1980-01-01
18.72431818483456,0,0,0,135477778,0,0,0,"Saint Lucia",1980-01-01
18.534375255194043,0,0,0,112040980,0,0,0,Samoa,1980-01-01
19.60308536626725,0,0,0,326220916,0,0,0,"San Marino",1980-01-01
18.226001379015997,0,0,0,82309853,0,0,0,"Sao Tome and Principe",1980-01-01
25.826417577223012,0,25.054227189322614,0,164539677261,0,76017330894.582,0,"Saudi Arabia",1980-01-01
21.90313558225861,0,18.74957922351105,0,3253950333,0,138943679.21909997,0,Senegal,1980-01-01
NULL,0,0,0,0,0,0,NULL,Serbia,1980-01-01
19.01861395257986,0,16.858396100872735,0,181835675,0,20965653.3275,0,Seychelles,1980-01-01
21.00031545035598,0,17.388397037378173,0,1319231821,0,35619259.167,0,"Sierra Leone",1980-01-01
23.2119831549901,0,22.069105450023976,0,12045815257,0,3841410485.4573,0,Singapore,1980-01-01
